,state,participation_rate_sat_2017,evidence-based_reading_and_writing_2017,math_2017,total_score_2017,participation_rate_act_2017,english,math,reading,science,composite_2017
0,alabama,5,593,572,1165,100,18.9,18.4,19.7,19.4,19.2
1,alaska,38,547,533,1080,65,18.7,19.8,20.4,19.9,19.8
2,arizona,30,563,553,1116,62,18.6,19.8,20.1,19.8,19.7
3,arkansas,3,614,594,1208,100,18.9,19.0,19.7,19.5,19.4
4,california,53,531,524,1055,31,22.5,22.7,23.1,22.2,22.8
5,colorado,11,606,595,1201,100,20.1,20.3,21.2,20.9,20.8
6,connecticut,100,530,512,1041,31,25.5,24.6,25.6,24.6,25.2
7,delaware,100,503,492,996,18,24.1,23.4,24.8,23.6,24.1
8,district of columbia,100,482,468,950,32,24.4,23.5,24.9,23.5,24.2
9,florida,83,520,497,1017,73,19.0,19.4,21.0,19.4,19.8
10,georgia,61,535,515,1050,55,21.0,20.9,22.0,21.3,21.4
11,hawaii,55,544,541,1085,90,17.8,19.2,19.2,19.3,19.0
12,idaho,93,513,493,1005,38,21.9,21.8,23.0,22.1,22.3
13,illinois,9,559,556,1115,93,21.0,21.2,21.6,21.3,21.4
14,indiana,63,542,532,1074,35,22.0,22.4,23.2,22.3,22.6
15,iowa,2,641,635,1275,67,21.2,21.3,22.6,22.1,21.9
16,kansas,4,632,628,1260,73,21.1,21.3,22.3,21.7,21.7
17,kentucky,4,631,616,1247,100,19.6,19.4,20.5,20.1,20.0
18,louisiana,4,611,586,1198,100,19.4,18.8,19.8,19.6,19.5
19,maine,95,513,499,1012,8,24.2,24.0,24.8,23.7,24.3
20,maryland,69,536,52,1060,28,23.3,23.1,24.2,2.3,23.6
21,massachusetts,76,555,551,1107,29,25.4,25.3,25.9,24.7,25.4
22,michigan,100,509,495,1005,29,24.1,23.7,24.5,23.8,24.1
23,minnesota,3,644,651,1295,100,20.4,21.5,21.8,21.6,21.5
24,mississippi,2,634,607,1242,100,18.2,18.1,18.8,18.8,18.6
25,missouri,3,640,631,1271,100,19.8,19.9,20.8,20.5,20.4
26,montana,10,605,591,1196,100,19.0,20.2,21.0,20.5,20.3
27,nebraska,3,629,625,1253,84,20.9,20.9,21.9,21.5,21.4
28,nevada,26,563,553,1116,100,16.3,18.0,18.1,18.2,17.8
29,new hampshire,96,532,520,1052,18,25.4,25.1,26.0,24.9,25.5
30,new jersey,70,530,526,1056,34,23.8,23.8,24.1,23.2,23.9
31,new mexico,11,577,561,1138,66,18.6,19.4,20.4,20.0,19.7
32,new york,67,528,523,1052,31,23.8,24.0,24.6,23.9,24.2
33,north carolina,49,546,535,1081,100,17.8,19.3,19.6,19.3,19.1
34,north dakota,2,635,621,1256,98,19.0,20.4,20.5,20.6,20.3
35,ohio,12,578,570,1149,75,21.2,21.6,22.5,22.0,22.0
36,oklahoma,7,530,517,1047,100,18.5,18.8,20.1,19.6,19.4
37,oregon,43,560,548,1108,40,21.2,21.5,22.4,21.7,21.8
38,pennsylvania,65,540,531,1071,23,23.4,23.4,24.2,23.3,23.7
39,rhode island,71,539,524,1062,21,24.0,23.3,24.7,23.4,24.0
40,south carolina,50,543,521,1064,100,17.5,18.6,19.1,18.9,18.7
41,south dakota,3,612,603,1216,80,20.7,21.5,22.3,22.0,21.8
42,tennessee,5,623,604,1228,100,19.5,19.2,20.1,19.9,19.8
43,texas,62,513,507,1020,45,19.5,20.7,21.1,20.9,20.7
44,utah,3,624,614,1238,100,19.5,19.9,20.8,20.6,20.3
45,vermont,60,562,551,1114,29,23.3,23.1,24.4,23.2,23.6
46,virginia,65,561,541,1102,29,23.5,23.3,24.6,23.5,23.8
47,washington,64,541,534,1075,29,20.9,21.9,22.1,22.0,21.9
48,west virginia,14,558,528,1086,69,20.0,19.4,21.2,20.5,20.4
49,wisconsin,3,642,649,1291,100,19.7,20.4,20.6,20.9,20.5
50,wyoming,3,626,604,1230,100,19.4,19.8,20.8,20.6,20.2
