,state,participation_rate_sat_2019,evidence-based_reading_and_writing_2019,math_2019,total_score_2019,participation_rate_act_2019,composite_2019
0,alabama,7.0,583,560,1143,100,18.9
1,alaska,41.0,556,541,1097,38,20.1
2,arizona,31.0,569,565,1134,73,19.0
3,arkansas,6.0,582,559,1141,100,19.3
4,california,63.0,534,531,1065,23,22.6
5,colorado,100.0,518,506,1024,27,23.8
6,connecticut,100.0,529,516,1046,22,25.5
7,delaware,100.0,499,486,985,13,24.1
8,district of columbia,94.0,495,480,975,32,23.5
9,florida,100.0,516,483,999,54,20.1
10,georgia,71.0,538,519,1058,49,21.4
11,hawaii,54.0,550,550,1100,80,19.0
12,idaho,100.0,505,488,993,31,22.5
13,illinois,100.0,509,504,1013,35,24.3
14,indiana,66.0,543,537,1080,29,22.5
15,iowa,3.0,622,622,1244,66,21.6
16,kansas,4.0,618,623,1241,72,21.2
17,kentucky,4.0,620,612,1232,100,19.8
18,louisiana,5.0,610,591,1200,100,18.8
19,maine,99.0,512,502,1013,6,24.3
20,maryland,82.0,535,523,1058,28,22.3
21,massachusetts,81.0,559,561,1120,21,25.5
22,michigan,100.0,507,496,1003,19,24.4
23,minnesota,4.0,636,648,1284,95,21.4
24,mississippi,3.0,628,608,1237,100,18.4
25,missouri,4.0,622,615,1236,82,20.8
26,montana,9.0,603,596,1199,100,19.8
27,nebraska,3.0,628,631,1260,100,20.0
28,nevada,20.0,580,576,1156,100,17.9
29,new hampshire,95.0,533,526,1059,14,25.0
30,new jersey,82.0,544,545,1090,25,24.2
31,new mexico,18.0,543,530,1073,63,19.3
32,new york,79.0,531,533,1064,22,24.5
33,north carolina,51.0,554,546,1100,100,19.0
34,north dakota,2.0,627,636,1263,96,19.9
35,ohio,19.0,550,548,1097,100,20.0
36,oklahoma,22.0,490,472,963,100,18.9
37,oregon,51.0,562,550,1112,42,21.1
38,pennsylvania,70.0,545,537,1082,17,23.6
39,rhode island,100.0,503,492,995,12,24.7
40,south carolina,68.0,526,504,1030,78,18.8
41,south dakota,3.0,633,635,1268,75,21.6
42,tennessee,7.0,618,602,1220,100,19.4
43,texas,68.0,515,507,1022,39,20.5
44,utah,4.0,614,615,1230,100,20.3
45,vermont,66.0,560,546,1106,20,24.1
46,virginia,68.0,567,551,1119,21,24.0
47,washington,70.0,539,535,1074,24,22.1
48,west virginia,99.0,483,460,943,49,20.8
49,wisconsin,3.0,635,648,1283,100,20.3
50,wyoming,3.0,623,615,1238,100,19.8
